	Instrument,	My DMM6500
	.Model,	DMM6500
	.SerialNumber,	04635780
	Acquisition,	
	.Measure Delay,	0 s
	.Measure Count Infinite,	Enabled
	.Start at HH:MM Enabled,	Disabled
	Function ,	2-Wire Resistance
	.Range,	Auto
	.NPLC,	1
	.Auto Zero,	On
	.Auto Delay,	Enabled
	.Line Sync,	Disabled
	Rel Enabled,	Disabled
	Filter,	
	.Digital,	Disabled
	Math,	Disabled
	Trigger Mode,	Immediate
	Limit 1,	Disabled
	Limit 2,	Disabled

"Index","DMM-1 Time (s)","DMM-1 Resistance (Ω)"
"1","0","17.093939544987"
"2","0.016711818","17.0739157383395"
"3","0.033421667","17.0721401119588"
"4","0.050128","17.0853081099268"
"5","0.066838394","17.1465361983018"
"6","0.102269","17.3379640852967"
"7","0.118974697","17.3826856435738"
"8","0.135683061","17.4264100738916"
"9","0.152393455","17.4960583539221"
"10","0.169105879","17.5697054863757"
"11","0.204538","17.6595893575095"
"12","0.221246242","17.6961004940008"
"13","0.237958667","17.7141625455415"
"14","0.254668939","17.7353031376409"
"15","0.271379333","17.7544583369808"
"16","0.306807","17.7767910510719"
"17","0.323515455","17.792396474518"
"18","0.340225849","17.7995314797476"
"19","0.356934273","17.8014311933553"
"20","0.373642606","17.769960354554"
"21","0.40907","17.4452245513242"
"22","0.425780364","17.2996689674148"
"23","0.442490758","17.3138444353616"
"24","0.459199121","17.3211759117496"
"25","0.475909515","17.2672807707983"
"26","0.511333","17.1085717812584"
"27","0.52804103","17.0911183473221"
"28","0.544749303","17.0854073887442"
"29","0.561455515","17.0467808639394"
"30","0.578167818","17.0197564779528"
"31","0.613596","17.0890975011414"
"32","0.630306303","17.0755409913459"
"33","0.647012515","17.02511881102"
"34","0.663723091","16.9777146049246"
"35","0.680431697","16.9335765471519"
"36","0.715862","16.8648603908745"
"37","0.732567758","16.8536142637007"
"38","0.749276","16.84229427519"
"39","0.765984273","16.8581331002992"
"40","0.782690485","16.9006388225239"
"41","0.818117","16.9669914160169"
"42","0.834829152","17.005866114914"
"43","0.851539424","17.0558820578863"
"44","0.868245636","17.1021798211532"
"45","0.884954061","17.1214694479278"
"46","0.920379","17.1501749179448"
"47","0.937087182","17.1297758938883"
"48","0.953795424","17.114403872429"
"49","0.970505697","17.1187070339234"
"50","0.987213939","17.1299546383239"
"51","1.022639","17.1196705537017"
"52","1.039349","17.1253889005212"
"53","1.056059273","17.1281099531798"
"54","1.072765485","17.1218081015828"
"55","1.089473758","17.1012643017333"
"56","1.124898","16.9368681088909"
"57","1.141605667","16.9069261890555"
"58","1.158313909","16.9711900076257"
"59","1.175020121","17.0032635664331"
"60","1.191726333","16.931427480801"
"61","1.227145","16.7762447545339"
"62","1.243855152","16.7149117548967"
"63","1.260563394","16.6778850530035"
"64","1.277271636","16.667969903468"
"65","1.293979879","16.6978763698486"
"66","1.329403","16.802574853658"
"67","1.346111121","16.8303807028396"
"68","1.362821394","16.7717968231794"
"69","1.379531667","16.7283161152789"
"70","1.396241939","16.6815175548968"
"71","1.431666","16.5972402610723"
"72","1.448373788","16.5700385978502"
"73","1.46508203","16.5693502099354"
"74","1.481790242","16.6035820555662"
"75","1.498497242","16.6551254701653"
"76","1.533922","16.8242207235849"
"77","1.550631697","16.9208934318902"
"78","1.567337909","17.0018366240127"
"79","1.584044121","17.0600910821897"
"80","1.600752364","17.102330919317"
"81","1.63618","17.1422175333714"
"82","1.652887758","17.1495017411379"
"83","1.669598364","17.1444156475788"
"84","1.686304909","17.1568479924505"
"85","1.703016424","17.1799060332185"
"86","1.738448","17.24276944054"
"87","1.755156546","17.3266907228789"
"88","1.771862727","17.4213928099795"
"89","1.78857303","17.5243732788126"
"90","1.805279242","17.6044316117884"
"91","1.840709","17.5878747688089"
"92","1.857418849","17.3598882771705"
"93","1.874131152","17.0453022540009"
"94","1.890837424","16.8358933805079"
"95","1.907545697","16.723166119004"
"96","1.942971","16.5622575921194"
"97","1.95968097","16.5105797282852"
"98","1.976387182","16.4974102415036"
