R,G,B,label,distance
169,47,37,Red,5cm
168,47,38,Red,5cm
168,47,38,Red,5cm
168,47,38,Red,5cm
168,47,38,Red,5cm
169,47,38,Red,5cm
169,47,38,Red,5cm
168,47,38,Red,5cm
167,48,39,Red,5cm
167,48,38,Red,5cm
167,48,38,Red,5cm
166,48,39,Red,5cm
166,48,39,Red,5cm
166,48,39,Red,5cm
167,48,39,Red,5cm
166,48,39,Red,5cm
166,48,39,Red,5cm
165,49,39,Red,5cm
166,48,39,Red,5cm
166,48,39,Red,5cm
165,49,40,Red,5cm
166,48,39,Red,5cm
166,48,39,Red,5cm
165,49,40,Red,5cm
166,48,39,Red,5cm
165,49,39,Red,5cm
166,48,39,Red,5cm
166,49,40,Red,5cm
167,48,39,Red,5cm
166,48,40,Red,5cm
165,49,40,Red,5cm
164,49,40,Red,5cm
164,50,40,Red,5cm
164,50,40,Red,5cm
165,49,40,Red,5cm
165,49,39,Red,5cm
165,49,40,Red,5cm
165,49,40,Red,5cm
165,49,40,Red,5cm
165,49,40,Red,5cm
165,49,40,Red,5cm
165,49,40,Red,5cm
165,49,40,Red,5cm
165,49,39,Red,5cm
166,49,39,Red,5cm
166,48,39,Red,5cm
165,49,40,Red,5cm
166,49,39,Red,5cm
165,49,39,Red,5cm
165,49,40,Red,5cm
