R,G,B,label,distance
139,59,56,Blue,5cm
121,66,66,Blue,5cm
122,66,65,Blue,5cm
118,68,68,Blue,5cm
116,68,69,Blue,5cm
113,70,70,Blue,5cm
111,70,72,Blue,5cm
107,72,75,Blue,5cm
107,71,75,Blue,5cm
102,73,78,Blue,5cm
113,69,71,Blue,5cm
112,69,72,Blue,5cm
110,70,74,Blue,5cm
112,69,72,Blue,5cm
112,69,72,Blue,5cm
111,69,73,Blue,5cm
110,70,74,Blue,5cm
110,70,74,Blue,5cm
106,72,76,Blue,5cm
111,70,73,Blue,5cm
112,70,72,Blue,5cm
116,68,70,Blue,5cm
115,68,71,Blue,5cm
113,69,72,Blue,5cm
109,70,75,Blue,5cm
112,69,73,Blue,5cm
116,68,70,Blue,5cm
119,66,68,Blue,5cm
119,67,68,Blue,5cm
126,64,64,Blue,5cm
128,63,63,Blue,5cm
129,62,62,Blue,5cm
133,61,60,Blue,5cm
134,60,59,Blue,5cm
131,61,61,Blue,5cm
131,61,61,Blue,5cm
135,60,59,Blue,5cm
136,59,58,Blue,5cm
138,58,58,Blue,5cm
139,58,57,Blue,5cm
138,58,57,Blue,5cm
136,60,58,Blue,5cm
136,60,58,Blue,5cm
134,60,59,Blue,5cm
134,60,59,Blue,5cm
132,61,60,Blue,5cm
133,61,60,Blue,5cm
132,61,60,Blue,5cm
132,61,60,Blue,5cm
133,61,60,Blue,5cm
