R,G,B,label,distance
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
133,61,59,Purple,2cm
133,61,59,Purple,2cm
133,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,59,Purple,2cm
134,61,58,Purple,2cm
134,61,58,Purple,2cm
135,61,58,Purple,2cm
135,61,58,Purple,2cm
134,61,58,Purple,2cm
135,61,58,Purple,2cm
135,60,58,Purple,2cm
135,61,58,Purple,2cm
134,61,58,Purple,2cm
134,61,58,Purple,2cm
134,61,58,Purple,2cm
135,60,58,Purple,2cm
134,61,59,Purple,2cm
136,60,57,Purple,2cm
136,60,58,Purple,2cm
135,60,58,Purple,2cm
135,60,58,Purple,2cm
135,60,58,Purple,2cm
136,60,57,Purple,2cm
136,60,57,Purple,2cm
136,60,58,Purple,2cm
137,60,57,Purple,2cm
138,60,56,Purple,2cm
137,60,57,Purple,2cm
137,59,57,Purple,2cm
137,60,57,Purple,2cm
137,60,57,Purple,2cm
138,59,57,Purple,2cm
138,59,56,Purple,2cm
138,59,56,Purple,2cm
138,59,56,Purple,2cm
