R,G,B,label,distance
134,71,49,Green,5cm
127,77,50,Green,5cm
123,79,51,Green,5cm
120,82,52,Green,5cm
119,83,52,Green,5cm
118,83,53,Green,5cm
118,83,53,Green,5cm
113,87,54,Green,5cm
115,86,53,Green,5cm
115,85,53,Green,5cm
117,84,53,Green,5cm
116,85,53,Green,5cm
117,83,53,Green,5cm
120,82,52,Green,5cm
120,81,52,Green,5cm
121,81,52,Green,5cm
123,79,51,Green,5cm
124,78,51,Green,5cm
123,79,52,Green,5cm
122,80,52,Green,5cm
121,81,52,Green,5cm
121,80,52,Green,5cm
127,76,51,Green,5cm
130,74,50,Green,5cm
133,71,49,Green,5cm
135,70,49,Green,5cm
137,68,48,Green,5cm
136,68,49,Green,5cm
138,67,48,Green,5cm
139,66,48,Green,5cm
138,67,48,Green,5cm
139,67,48,Green,5cm
140,65,48,Green,5cm
142,64,48,Green,5cm
143,64,47,Green,5cm
138,68,48,Green,5cm
132,72,50,Green,5cm
129,74,50,Green,5cm
131,72,50,Green,5cm
131,72,50,Green,5cm
132,72,50,Green,5cm
131,73,50,Green,5cm
130,73,50,Green,5cm
131,73,50,Green,5cm
131,73,50,Green,5cm
129,74,50,Green,5cm
130,73,51,Green,5cm
129,74,50,Green,5cm
129,74,50,Green,5cm
129,75,51,Green,5cm
