R,G,B,label,distance
151,65,38,Yellow,5cm
151,65,37,Yellow,5cm
150,66,37,Yellow,5cm
150,67,37,Yellow,5cm
151,64,38,Yellow,5cm
149,67,38,Yellow,5cm
149,67,38,Yellow,5cm
149,67,38,Yellow,5cm
149,67,38,Yellow,5cm
149,67,38,Yellow,5cm
149,66,38,Yellow,5cm
147,68,38,Yellow,5cm
144,71,39,Yellow,5cm
144,70,39,Yellow,5cm
145,70,39,Yellow,5cm
150,67,37,Yellow,5cm
148,68,37,Yellow,5cm
148,68,38,Yellow,5cm
146,69,38,Yellow,5cm
146,68,39,Yellow,5cm
148,67,38,Yellow,5cm
148,66,39,Yellow,5cm
151,64,39,Yellow,5cm
156,58,40,Yellow,5cm
156,58,39,Yellow,5cm
156,58,39,Yellow,5cm
155,59,39,Yellow,5cm
156,58,39,Yellow,5cm
156,58,39,Yellow,5cm
155,60,39,Yellow,5cm
154,61,38,Yellow,5cm
155,60,39,Yellow,5cm
154,61,39,Yellow,5cm
155,60,39,Yellow,5cm
155,60,39,Yellow,5cm
156,59,39,Yellow,5cm
156,58,39,Yellow,5cm
156,58,39,Yellow,5cm
156,58,39,Yellow,5cm
156,59,39,Yellow,5cm
156,59,39,Yellow,5cm
155,60,39,Yellow,5cm
156,59,39,Yellow,5cm
155,59,39,Yellow,5cm
155,59,39,Yellow,5cm
156,58,40,Yellow,5cm
155,59,39,Yellow,5cm
157,57,40,Yellow,5cm
157,58,39,Yellow,5cm
157,58,39,Yellow,5cm
